time,roll,pitch,yaw
0.000000,90.000000,-45.000000,0.000000
0.020000,90.000000,-44.999990,-0.000000
0.040000,90.000000,-44.999963,0.000000
0.060000,90.000000,-44.999920,0.000000
0.080000,90.000000,-44.999865,-0.000000
0.100000,90.000000,-44.999798,0.000000
0.120000,90.000000,-44.999723,0.000000
0.140000,90.000000,-44.999644,0.000000
0.160000,90.000000,-44.999561,0.000000
0.180000,90.000000,-44.999480,0.000000
0.200000,90.000000,-44.999402,0.000000
0.220000,90.000000,-44.999332,-0.000000
0.240000,90.000000,-44.999272,0.000000
0.260000,90.000000,-44.999226,0.000000
0.280000,90.000000,-44.999199,0.000000
0.300000,90.000000,-44.999194,0.000000
0.320000,90.000000,-44.999214,0.000000
0.340000,90.000000,-44.999265,0.000000
0.360000,90.000000,-44.999350,0.000000
0.380000,90.000000,-44.999474,0.000000
0.400000,90.000000,-44.999642,0.000000
0.420000,90.000000,-44.999858,0.000000
0.440000,90.000000,-45.000127,0.000000
0.460000,90.000000,-45.000454,-0.000000
0.480000,90.000000,-45.000845,0.000000
0.500000,90.000000,-45.001304,0.000000
0.520000,90.000000,-45.001838,0.000000
0.540000,90.000000,-45.002451,0.000000
0.560000,90.000000,-45.003149,0.000000
0.580000,90.000000,-45.003938,0.000000
0.600000,90.000000,-45.004825,0.000000
0.620000,90.000000,-45.005815,0.000000
0.640000,90.000000,-45.006914,-0.000000
0.660000,90.000000,-45.008130,0.000000
0.680000,90.000000,-45.009467,0.000000
0.700000,90.000000,-45.010934,0.000000
0.720000,90.000000,-45.012536,0.000000
0.740000,90.000000,-45.014281,0.000000
0.760000,90.000000,-45.016175,0.000000
0.780000,90.000000,-45.018226,0.000000
0.800000,90.000000,-45.020441,0.000000
0.820000,90.000000,-45.022828,0.000000
0.840000,90.000000,-45.025393,-0.000000
0.860000,90.000000,-45.028145,0.000000
0.880000,90.000000,-45.031091,-0.000000
0.900000,90.000000,-45.034239,0.000000
0.920000,90.000000,-45.037597,0.000000
0.940000,90.000000,-45.041173,0.000000
0.960000,90.000000,-45.044976,0.000000
0.980000,90.000000,-45.049013,0.000000
1.000000,90.000000,-45.053293,0.000000
1.020000,90.000000,-45.057825,0.000000
1.040000,90.000000,-45.062617,0.000000
1.060000,90.000000,-45.067678,-0.000000
1.080000,90.000000,-45.073016,0.000000
1.100000,90.000000,-45.078642,0.000000
1.120000,90.000000,-45.084563,0.000000
1.140000,90.000000,-45.090789,0.000000
1.160000,90.000000,-45.097329,0.000000
1.180000,90.000000,-45.104192,0.000000
1.200000,90.000000,-45.111389,-0.000000
