time,roll,pitch,yaw
0.000000,90.000000,-45.000000,0.000000
0.020000,90.000000,-44.999990,-0.000000
0.040000,90.000000,-44.999963,0.000000
0.060000,90.000000,-44.999920,0.000000
0.080000,90.000000,-44.999865,0.000000
0.100000,90.000000,-44.999798,-0.000000
0.120000,90.000000,-44.999724,0.000000
0.140000,90.000000,-44.999644,0.000000
0.160000,90.000000,-44.999562,0.000000
0.180000,90.000000,-44.999481,0.000000
0.200000,90.000000,-44.999404,0.000000
0.220000,90.000000,-44.999334,0.000000
0.240000,90.000000,-44.999275,0.000000
0.260000,90.000000,-44.999230,0.000000
0.280000,90.000000,-44.999204,0.000000
0.300000,90.000000,-44.999199,0.000000
0.320000,90.000000,-44.999221,0.000000
0.340000,90.000000,-44.999272,0.000000
0.360000,90.000000,-44.999358,0.000000
0.380000,90.000000,-44.999483,0.000000
0.400000,90.000000,-44.999652,-0.000000
0.420000,90.000000,-44.999868,0.000000
0.440000,90.000000,-45.000138,-0.000000
0.460000,90.000000,-45.000465,-0.000000
0.480000,90.000000,-45.000854,0.000000
0.500000,90.000000,-45.001312,-0.000000
0.520000,90.000000,-45.001843,0.000000
0.540000,90.000000,-45.002453,0.000000
0.560000,90.000000,-45.003146,0.000000
0.580000,90.000000,-45.003929,0.000000
0.600000,90.000000,-45.004807,0.000000
0.620000,90.000000,-45.005787,0.000000
0.640000,90.000000,-45.006873,0.000000
0.660000,90.000000,-45.008072,0.000000
0.680000,90.000000,-45.009391,0.000000
0.700000,90.000000,-45.010834,-0.000000
0.720000,90.000000,-45.012410,0.000000
0.740000,90.000000,-45.014122,0.000000
0.760000,90.000000,-45.015980,0.000000
0.780000,90.000000,-45.017987,0.000000
0.800000,90.000000,-45.020153,0.000000
0.820000,90.000000,-45.022482,0.000000
0.840000,90.000000,-45.024981,0.000000
0.860000,90.000000,-45.027658,-0.000000
0.880000,90.000000,-45.030519,-0.000000
0.900000,90.000000,-45.033571,0.000000
0.920000,90.000000,-45.036821,-0.000000
0.940000,90.000000,-45.040276,-0.000000
0.960000,90.000000,-45.043943,0.000000
0.980000,90.000000,-45.047828,0.000000
1.000000,90.000000,-45.051940,-0.000000
1.020000,90.000000,-45.056284,0.000000
1.040000,90.000000,-45.060868,0.000000
1.060000,90.000000,-45.065700,0.000000
1.080000,90.000000,-45.070785,0.000000
1.100000,90.000000,-45.076132,0.000000
1.120000,90.000000,-45.081747,0.000000
1.140000,90.000000,-45.087637,0.000000
1.160000,90.000000,-45.093810,0.000000
1.180000,90.000000,-45.100273,0.000000
1.200000,90.000000,-45.107032,0.000000
